ProductName,MeanAvgRating,MeanSalePrice,TotalReviews
AppleiPadAir,4.83,374,81
AppleiPadmini,4.73,218.5,1717
SamsungGalaxyTabPro,2.31,379.99,142
SamsungGalaxyTab3,5,99.99,2
SamsungGalaxyTabS,4.033333333,348.6566667,252
SamsungGalaxyTab4,4.61,279.99,450
AcerIconia,0,146.52,0
AcerICONIAONE,5,104.15,1
AsusMeMOPad,0,133.97,0
ASUSTransformerPad,5,249.99,1
AsusT100,0,356.71,0
ASUS8,4.8,160.13,5
AsusVivoTab,0,199.99,0
ToshibaEncore,2,240.935,8
ToshibaExcite,0,461.18,0
ToshibaSatellite,4.225,412.685,40
HPSlate,1.375,107.425,4