"Neighborhood","CUISINE","RESTAURANT","SCORE"
"East Harlem ","Asian","ASIAN GOURMET",8
"East Harlem ","Chinese","KING DRAGON 88",8
"East Midtown ","American","ANASSA TAVERNA",8
"East Midtown ","Greek","ETHOS GALLERY",8
"East Midtown ","American","HERB N' KITCHEN MARKET",8
"East Midtown ","Japanese","KATSUHAMA 47",8
"East Midtown ","Pizza","PAZZO PIZZA",8
"Financial District","Donuts","DUNKIN' DONUTS",8
"Financial District, Seaport","Delicatessen","PLAZA DELI",8
"Financial District, Seaport","American","SQUIRE DINER",8
"Greenwich Village ","Mediterranean","LOCAL 92",8
"Greenwich Village ","Mexican","OTTO'S TACOS",8
"Greenwich Village ","American","PROFESSOR THOM'S",8
"Lower East Side ","Other","BOBA GUYS",8
"Lower East Side ","Brazilian","GALERIA",8
"Lower East Side ","Chinese","GOLDEN BOWL RESTAURANT",8
"Murray Hill ","Moroccan","BARBES",8
"Murray Hill ","Korean","BREAD  BUTTER",8
"Murray Hill ","Italian","PATRIZIAS OF BROOKLYN",8
"Tribeca, Soho ","Greek","GREECOLOGIES",8
"Tribeca, Soho ","Chinese","New Style Handpulled Noodles",8
"Tribeca, Soho ","American","SMILE TO GO",8
"Tribeca, Soho ","Caf/Coffee/Tea","VIVI BUBBLE TEA",8
"Upper East Side","French","BONJOUR CREPES  WINE",8
"Upper East Side","American","GREEN CAFE",8
"Upper East Side","African","KAIA WINE BAR",8
"Upper East Side","American","REIF'S TAVERN",8
"Upper East Side ","Caf/Coffee/Tea","CORRADO BREAD AND PASTRY",8
"Upper East Side ","American","THE BURGER BISTRO",8
"Upper East Side ","Italian","ZUCCHERO E POMODORI",8
"Upper West Side","Chinese","A NEW SAIGON VIETNAMESE CUISINE",8
"Upper West Side","French","CAFE DU SOLEIL",8
"Upper West Side","Chinese","EMPIRE GARDEN",8
"Upper West Side","Hamburgers","MEL'S BURGER BAR",8
"Upper West Side","Jewish/Kosher","PRIME KO",8
"Upper West Side","Greek","SYMPOSIUM GREEK RESTAURANT",8
"Village NoHo ","American","310 BOWERY BAR",8
"Village NoHo ","French","BALTHAZAR RESTAURANT",8
"Village NoHo ","Delicatessen","PARISI BAKERY",8
"Washington Heights","Jewish/Kosher","CHOP CHOP",8
"Washington Heights ","American","ANGRY BURGER",8
"West Greenwich Village ","Caf/Coffee/Tea","GROUNDED",8
"West Midtown ","Other","BREAD FACTORY CAFE",8
"West Midtown ","Caf/Coffee/Tea","CAFE TARANTIN",8
"West Midtown ","American","CAFFE BENE",8
"West Midtown ","American","COSMIC DINER",8
"West Midtown ","Donuts","DUNKIN DONUTS  BASKIN ROBBINS",8
"West Midtown ","Ice Cream Gelato Yogurt Ices","FRANNIE'S YOART",8
"West Midtown ","Delicatessen","GREEN APPLE GOURMET",8
"West Midtown ","Caf/Coffee/Tea","GREGORYS COFFEE",8
"West Midtown ","American","HILTON NEW  YORK HILTON BANQUET HALL",8
"West Midtown ","Japanese","IROHA JAPANESE RESTAURANT",8
"West Midtown ","French","LE PAIN QUOTIDIEN",8
"West Midtown ","American","MCGEES PUB",8
"West Midtown ","Jewish/Kosher","MR BROADWAY KOSHER RESTAURANT",8
"West Midtown ","American","NILES RESTAURANT",8
"West Midtown ","Italian","NINOS 46",8
"West Midtown ","Pizza/Italian","ROCKY'S BAR  RESTAURANT",8
"West Midtown ","American","VIZIO",8
"Chelsea Greenwich Village ","American","ELMO",7
"Chelsea Greenwich Village ","Pizza","GOTHAM PIZZA",7
"Chelsea Greenwich Village ","American","HIGHLINE BALLROOM",7
"Chelsea Greenwich Village ","American","HOLLYWOOD DINER",7
"Chelsea Greenwich Village ","Italian","ROSEMARY'S",7
"Chelsea Greenwich Village ","Spanish","SOCARRAT PAELLA BAR AND WINE BAR",7
"East Greenwich Village ","American","ACE BAR",7
"East Greenwich Village ","American","AVE NIDA",7
"East Greenwich Village ","Caf/Coffee/Tea","BOX KITE CAFE",7
"East Greenwich Village ","American","CAFE SILAN",7
"East Greenwich Village ","Caf/Coffee/Tea","GRAPE AND GRAIN",7
"East Greenwich Village ","Thai","SOMTUM DER",7
"East Greenwich Village ","American","TOMPKINS SQUARE BAGELS",7
"East Harlem","Chinese","NEW DRAGON ONE",7
"East Harlem ","Bakery","MY NY BAKERY CAFE",7
"East Harlem ","Chinese","NEW FA SHING CHINESE RESTAURANT",7
"East Midtown ","Indian","1 DARBAR",7
"East Midtown ","Hamburgers","FIVE GUYS FAMOUS BURGERS AND FRIES",7
"East Midtown ","American","FOOD WORLD",7
"East Midtown ","Soups  Sandwiches","HALE  HEARTY SOUP",7
"East Midtown ","Indian","JOY CURRY  TANDOOR",7
"East Midtown ","American","LA GOURMET",7
"East Midtown ","American","MCDONALDS RESTAURANT",7
"Financial District","Donuts","DUNKIN DONUTS",7
"Financial District ","Mexican","LENWICH",7
"Financial District, Seaport","Bakery","GREAT TASTE BAKERY",7
"Financial District, Seaport","Jewish/Kosher","PITA EXPRESS",7
"Financial District, Seaport","Bagels/Pretzels","WETZEL'S PRETZELS",7
"Gramercy ","American","NEW YORK COMEDY CLUB",7
"Gramercy ","American","PROMENADE BAR GRILL SUSHI",7
"Greenwich Village ","Chinese","BIANG",7
"Greenwich Village ","Middle Eastern","BIG ARC CHICKEN",7
"Greenwich Village ","Italian","BOCCA",7
"Greenwich Village ","Italian","BRUNO",7
"Greenwich Village ","TexMex","CHIPOTLE MEXICAN GRILL",7
"Greenwich Village ","Salads","CHOP T",7
"Greenwich Village ","Caf/Coffee/Tea","HUNGRY GHOST COFFEE BAR AND CAFE AT TISCH",7
"Greenwich Village ","Caf/Coffee/Tea","LAZY LLAMA",7
"Greenwich Village ","Pizza","MOTORINO PIZZERIA NAPOLETANA",7
"Greenwich Village ","Pizza/Italian","PROTO PIZZA",7
"Greenwich Village ","Tapas","TAMU LOLA",7
"Greenwich Village ","American","THE ROYAL",7
"Harlem","Ethiopian","ABYSSINIA ETHIOPIAN RESTAURANT",7
"Harlem","Caf/Coffee/Tea","MANHATANVILLE COFFEE",7
"Inwood ","Pizza/Italian","GRANDPA'S BRICK OVEN PIZZA",7
"Korea Town ","Hotdogs","HOT DOG CONCESSION",7
"Lower East Side ","Hamburgers","BURGER KING",7
"Lower East Side ","Italian","GAIA ITALIAN CAFE",7
"Lower East Side ","Bakery","KAMBOAT BAKERY  CAFE",7
"Lower East Side ","Tapas","NO FUN",7
"Lower East Side ","American","RUSS  DAUGHTERS CAFE",7
"Lower East Side ","Caf/Coffee/Tea","SPREADHOUSE COFFEE",7
"Lower East Side ","Pizza/Italian","WILLIAMSBURG PIZZA",7
"Midtown ","American","CAPITAL ONE NYC",7
"Midtown Upper East Side ","American","BROD KITCHEN",7
"Midtown Upper East Side ","Donuts","DUNKIN' DONUTS BASKIN ROBBINS",7
"Midtown Upper East Side ","Italian","IL RICCIO RESTAURANT",7
"Midtown Upper East Side ","Pizza/Italian","JOHN  TONYS PIZZA",7
"Midtown Upper East Side ","American","LENWICH",7
"Midtown Upper East Side ","Indian","MOTI MAHAL DELUX",7
"Midtown Upper East Side ","Jewish/Kosher","PASTRAMI QUEEN",7
"Midtown Upper East Side ","Seafood","THEOS",7
"Morningside Heights ","Caf/Coffee/Tea","LENOX COFFEE",7
"Morningside Heights ","Sandwiches/Salads/Mixed Buffet","SUBWAY",7
"Murray Hill ","Korean","BANGIA",7
"Murray Hill ","Asian","BURP BOWL CAFE",7
"Murray Hill ","American","ONEONEFOUR BAR  LOUNGE MARMAR PARK AVE",7
"Murray Hill ","Caf/Coffee/Tea","STARBUCKS",7
"Murray Hill ","Turkish","TURKISH KITCHEN",7
"Tribeca ","American","BROOKDALE",7
"Tribeca, Soho ","American","55 THOMAS CAFE",7
"Tribeca, Soho ","American","ATERA",7
"Tribeca, Soho ","American","BABY GRAND",7
"Tribeca, Soho ","Chinese","MAY WAH FAST FOOD",7
"Tribeca, Soho ","Japanese","NOBU",7
"Tribeca, Soho ","Chinese","SING KEE SEAFOOD RESTAURANT",7
"Upper East Side ","Italian","ARTURO'S",7
"Upper East Side ","American","MCDONALD'S",7
"Upper West Side","Caribbean","FREDA'S",7
"Upper West Side","Soups  Sandwiches","HALE  HEARTY SOUP",7
"Upper West Side","Chinese","HAPPY HOT HUNAN RESTAURANT",7
"Upper West Side","Mexican","MEXICAN FESTIVAL",7
"Upper West Side","Pizza/Italian","NUMERO 28 PIZZERIA",7
"Upper West Side","Thai","THAI MARKET",7
"Upper West Side","Pizza","TWO BOOTS",7
"Upper West Side ","American","EQUINOXTHE SIDEWALK CAFE",7
"Upper West Side ","Bakery","MAGNOLIA BAKERY",7
"Village NoHo ","American","12 CHAIRS",7
"Village NoHo ","Italian","CARROLL PLACE",7
"Village NoHo ","Chinese","DUMPLING KINGDOM",7
"Village NoHo ","Japanese","FUKUROU",7
"Village NoHo ","American","GREAT JONES CAFE",7
"Village NoHo ","Caf/Coffee/Tea","LA COLOMBE",7
"Washington Heights","American","21 BAR",7
"West Greenwich Village ","Caf/Coffee/Tea","GREGORY'S COFFEE",7
"West Greenwich Village ","American","HOME RESTAURANT",7
"West Greenwich Village ","Pizza","PHIL'S PIZZA WEST VILLAGE",7
"West Greenwich Village ","Italian","PO RESTAURANT",7
"West Midtown ","Indian","AAHELI",7
"West Midtown ","Asian","ASURA ASIAN BISTRO",7
"West Midtown ","Juice Smoothies Fruit Salads","BALLY TOTAL FITNESS JUICE BAR",7
"West Midtown ","Italian","BARILLA RESTAURANTS",7
"West Midtown ","American","BOTTOMS UP/VODKA SODA",7
"West Midtown ","American","CAFFE BENE",7
"West Midtown ","Pizza/Italian","CAVALLO'S PIZZERIA",7
"West Midtown ","Irish","CONNOLLY'S PUB",7
"West Midtown ","TexMex","EL RANCHO BURRITOS",7
"West Midtown ","Sandwiches/Salads/Mixed Buffet","EUROPA CAFE",7
"West Midtown ","Pizza","FAMOUS RAY'S PIZZA",7
"West Midtown ","American","FOUR POINTS SHERATON",7
"West Midtown ","Salads","FREEFOODS",7
"West Midtown ","Sandwiches/Salads/Mixed Buffet","GUY  GALLARD",7
"West Midtown ","Mediterranean","ILILI RESTAURANT",7
"West Midtown ","Greek","LOI ESTIATORIO",7
"West Midtown ","Irish","PLAYWRIGHT CELTIC PUB",7
"West Midtown ","Caf/Coffee/Tea","RAMINI ESPRESSO BAR",7
"West Midtown ","American","RGA CAFE  COFFEE BAR MERILL LYNCH",7
"West Midtown ","American","SNAX SPOT",7
"West Midtown ","American","STARBUCKS",7
"West Midtown ","American","STARBUCKS COFFEE  26528",7
"West Midtown ","American","STROKOS PIZZA DELI",7
"West Midtown ","American","THE PAUL",7
"West Midtown ","American","WEST BANK CAFE",7
"Chelsea Greenwich Village ","French","LE BARATIN",6
"Chelsea Greenwich Village ","American","STUDIO KRUAT",6
"East Harlem ","Donuts","DUNKIN DONUTS",6
"East Midtown ","Japanese","ABURIYA KINNOSUKE",6
"East Midtown ","American","BOTTLE AND BINE",6
"East Midtown ","American","THE FITZ",6
"Gramercy ","Turkish","LIMON RESTAURANT",6
"Inwood ","American","VS BERRY",6
"Tribeca, Soho ","American","MARK FORGIONE",6
"Village NoHo ","Japanese","SUSHI ZO",6
"Washington Heights","Mexican","TACO GOGO",6
"West Greenwich Village ","Mexican","TACOMBI BLEECKER ST",6
"West Midtown ","Korean","MISS KOREA",6
"Chelsea Greenwich Village ","Bagels/Pretzels","MURRAY'S BAGELS",5
"East Harlem","Chinese","WING WAH",5
"East Harlem ","Seafood","EVERY DAY FRESH FISHNCHIPS",5
"East Midtown ","American","CAFE METRO",5
"East Midtown ","American","MANHATTAN COURTYARD",5
"East Midtown ","American","STOUT",5
"Financial District, Seaport","Sandwiches","POTBELLY SANDWICH WORKS",5
"Lower East Side ","Pizza","99 CENTS FRESH SLICE PIZZA",5
"Morningside Heights ","Japanese","JIN RAMEN",5
"Morningside Heights ","Seafood","PAPA FISH MARKET",5
"Murray Hill ","Hamburgers","MCDONALD'S",5
"Murray Hill ","Chinese","MING'S DELIGHT",5
"Upper East Side ","Chinese","CAFE EVERGREEN",5
"Upper East Side ","French","MAISON KAYSER",5
"Upper West Side","Indian","MANHATTAN VALLEY",5
"Washington Heights","Pizza","DOMINO'S",5
"West Midtown ","Caf/Coffee/Tea","GREGORYS COFFEE",5
"West Midtown ","American","MCGARRY'S",5
"Chelsea Greenwich Village ","Caf/Coffee/Tea","CAFE BAMBA",4
"East Harlem ","Pizza","Make and Bake Pizza",4
"East Midtown ","Caf/Coffee/Tea","PEETS COFFEE  TEA",4
"East Midtown ","American","SNAFU",4
"Financial District, Seaport","Chinese","59 CHINA",4
"Greenwich Village ","Hamburgers","CHECKERS",4
"Greenwich Village ","Thai","KIIN THAI EATERY",4
"Inwood ","Spanish","AGUA ROJA BAR  LOUNGE",4
"Korea Town ","American","EVENT LEVEL CLUB DELTA SKY 360 BAR",4
"Lower East Side ","Caf/Coffee/Tea","KONEKO",4
"Lower East Side ","Mexican","LA FLACA",4
"Lower East Side ","Other","PATACON PISAO",4
"Midtown Upper East Side ","TexMex","GINA MEXICANA",4
"Morningside Heights ","Caribbean","HARLEM KARIBE TAKE OUT",4
"Morningside Heights ","Soul Food","MANNA'S RESTAURANT",4
"Murray Hill ","Asian","EAST PACIFIC PAN ASIAN BISTRO",4
"Tribeca, Soho ","Greek","THALASSA",4
"Upper East Side ","Salads","JUST SALAD",4
"Upper East Side ","Pizza","LA CROSTA RESTAURANT",4
"Upper West Side","American","ARTS AND CRAFTS BEER PARLOR",4
"Upper West Side","American","BIG DADDY'S",4
"Upper West Side","American","BROADWAY RESTAURANT",4
"Upper West Side ","Pizza","FARINELLA",4
"Washington Heights","Latin Cuban Dominican Puerto Rican South  Central American","LUISA CHIMICHURRY",4
"West Greenwich Village ","Japanese","RAMEN BY MEW",4
"West Midtown ","Italian","BECCO",4
"West Midtown ","Sandwiches/Salads/Mixed Buffet","LENWICH",4
"West Midtown ","Sandwiches/Salads/Mixed Buffet","SUBWAY",4
"West Midtown ","American","THE AMERICANO HOTEL",4
"West Midtown ","Hamburgers","WHITE CASTLE",4
"East Greenwich Village ","Bagels/Pretzels","BLACK SEED BAGELS",3
"East Harlem","Sandwiches","SUBWAY",3
"East Harlem ","Mexican","MOJITO'S",3
"East Midtown ","American","DISHES",3
"East Midtown ","Sandwiches","LE PAIN QUOTIDIEN",3
"East Midtown ","American","THE COMFORT DINER",3
"East Midtown ","American","THE PIERPONT LEADERSHIP CENTER",3
"Financial District","Pizza","DONA BELLA  PIZZA",3
"Financial District, Seaport","American","HALE  HEARTY SOUP",3
"Gramercy ","Salads","CHOP'T",3
"Greenwich Village ","American","THE REDHEAD",3
"Harlem ","French","HARLEM BLUES CAFE",3
"Inwood ","American","DUNKIN' DONUTS BASKIN ROBBINS",3
"Lower East Side ","American","STANTON SOCIAL",3
"Midtown Upper East Side ","American","CAFE 61",3
"Murray Hill ","Italian","ASELLINA RISTORANTE",3
"Murray Hill ","Italian","WINE34",3
"Upper East Side ","Caf/Coffee/Tea","CAFFE BACIO",3
"Upper West Side","Mexican","CHIPOTLE MEXICAN GRILL",3
"Upper West Side ","TexMex","TACO GRILL",3
"Village NoHo ","Vegetarian","BY CHLOE",3
"Village NoHo ","Caf/Coffee/Tea","JOE  THE JUICE",3
"West Greenwich Village ","Donuts","DUNKIN DONUTS  BASKIN ROBBINS",3
"West Midtown ","American","AS IS",3
"West Midtown ","American","BRENDAN'S",3
"West Midtown ","American","THE MARSHAL",3
"West Midtown ","American","THE STRAND BISTRO",3
"Chelsea Greenwich Village ","American","FLAVORS",2
"Chelsea Greenwich Village ","French","GOLDEN CREPES",2
"Chelsea Greenwich Village ","American","LENWICH",2
"Chelsea Greenwich Village ","Hamburgers","MCDONALD'S",2
"Chelsea Greenwich Village ","Spanish","SPAIN RESTAURANT  BAR",2
"East Greenwich Village ","French","DAVID'S CAFE",2
"East Harlem ","American","KFC",2
"East Harlem ","Pizza","NEAPOLITAN EXPRESS",2
"East Midtown ","Japanese","KURUMAZUSHI RESTAURANT",2
"East Midtown ","American","PIG  WHISTLE",2
"East Midtown ","American","SALVATION BURGER",2
"East Midtown ","Caf/Coffee/Tea","STARBUCKS",2
"East Midtown ","American","SUBWAY",2
"East Midtown ","Vegetarian","TERRI",2
"Financial District ","American","DIG INN SEASONAL MARKET",2
"Financial District ","Italian","FINO RISTORANTE",2
"Financial District ","Sandwiches/Salads/Mixed Buffet","FRESH  CO",2
"Financial District ","American","MAPLE",2
"Financial District, Seaport","Donuts","DUNKIN DONUTS",2
"Gramercy ","Pizza","PICK  PAY GYRO  PIZZA",2
"Greenwich Village ","American","BLOSSOM DU JOUR",2
"Greenwich Village ","Hamburgers","CHECKERS",2
"Greenwich Village ","American","NO 32",2
"Greenwich Village ","American","SAN MARZANO",2
"Greenwich Village ","Indian","SIGIRI",2
"Greenwich Village ","American","SWEETGREEN",2
"Greenwich Village ","Chinese","THE COTTAGE",2
"Harlem","Mexican","CHINELOS II DELIGROCERY RESTAURANT",2
"Harlem","American","ROW HOUSE",2
"Harlem","Caf/Coffee/Tea","STARBUCKS COFFEE",2
"Inwood ","Bottled beverages including water sodas juices etc","CORCHO WINE ROOM",2
"Korea Town ","American","BAR",2
"Korea Town ","Hotdogs","BAR/BALL PARK",2
"Korea Town ","American","CARNEGIE DELI CATESSEN",2
"Korea Town ","Pizza","CASA NONNA",2
"Korea Town ","American","CHICKEN/CELEBRITY CHEF DELI CONCESSION",2
"Korea Town ","American","CHICKEN/FRIES CONCESSION",2
"Korea Town ","Chicken","CHICKEN/FRIES CONCESSION",2
"Korea Town ","American","DUNKIN DONUTS/JEAN GEORGES SIMPLY CHICKEN",2
"Korea Town ","American","EMPLOYEE FEEDING",2
"Korea Town ","American","GARDEN MARKET",2
"Korea Town ","Hotdogs","Garden Market 35/36",2
"Korea Town ","Hotdogs/Pretzels","GARDEN MARKET 37/38",2
"Korea Town ","Hotdogs/Pretzels","GARDEN MARKET DUNKIN DONUTS",2
"Korea Town ","Chicken","Garden Market/Jean Georges Simply Chicken",2
"Korea Town ","American","HAMBURGER/CELEBRITY CHEF",2
"Korea Town ","Hamburgers","HAMBURGER/CELEBRITY CHEF UNCLE JACKS",2
"Korea Town ","American","HOT DOG CONCESSION",2
"Korea Town ","Hotdogs/Pretzels","HOT DOG CONCESSION",2
"Korea Town ","American","MADISON CLUB",2
"Korea Town ","Bakery","MAGNOLIA BAKERY",2
"Korea Town ","American","PRESS ROOM",2
"Korea Town ","American","PUB",2
"Korea Town ","Sandwiches","SAUSAGE BOSS",2
"Korea Town ","Seafood","SENZAI SUSHI/LOBSTER SHRIMP ROLL BY AQUA GRILL",2
"Korea Town ","American","SUITE 200/1879",2
"Korea Town ","American","THEATER FLY",2
"Lower East Side ","Chinese","CHINATOWN CHINESE RESTAURANT",2
"Lower East Side ","American","MCDONALD'S",2
"Lower East Side ","Caf/Coffee/Tea","ROASTING PLANT",2
"Lower East Side ","Chinese","YI ZHANG FISHBALL",2
"Midtown ","Mediterranean","NANOOSH",2
"Midtown Upper East Side ","American","COLONY CLUB",2
"Midtown Upper East Side ","Bagels/Pretzels","PickABagel",2
"Morningside Heights ","Donuts","DUNKIN' DONUTS",2
"Morningside Heights ","Ice Cream Gelato Yogurt Ices","PIECE OF VELVET",2
"Murray Hill ","Bakery","CRUMBS BAKE SHOP",2
"Murray Hill ","Caf/Coffee/Tea","STARBUCKS",2
"Tribeca, Soho ","Caf/Coffee/Tea","LITTLE LIONS",2
"Tribeca, Soho ","Bakery","TRIBECA TREATS",2
"Upper East Side","Irish","GENESIS BAR  RESTAURANT",2
"Upper East Side","French","LA TARTE FLAMBEE",2
"Upper West Side","Juice Smoothies Fruit Salads","JUICE PRESS",2
"Upper West Side","Sandwiches","LENWICH",2
"Upper West Side","Indian","MAHARAJA PALACE",2
"Upper West Side ","Irish","EMERALD INN",2
"Upper West Side ","Vegetarian","MAOZ VEGETARIAN",2
"Village NoHo ","Japanese","DOJO RESTAURANT",2
"Village NoHo ","Italian","PORTO BELLO RESTAURANT",2
"Village NoHo ","Sandwiches/Salads/Mixed Buffet","THE CAFE  GREENE ST",2
"Village NoHo ","American","THE GRAFFITI ROOM",2
"West Greenwich Village ","Caf/Coffee/Tea","BOSIE TEA PARLOR",2
"West Greenwich Village ","Delicatessen","GETTING HUNGRY",2
"West Greenwich Village ","Pizza","RIVOLI PIZZA RESTAURANT",2
"West Midtown ","American","AMERITTANIA",2
"West Midtown ","American","CAFE ATELIER ART STUDENTS LEAGUE",2
"West Midtown ","Donuts","DUNKIN' DONUTS",2
"West Midtown ","American","FRESH  CO",2
"West Midtown ","Caf/Coffee/Tea","Frisson Espresso",2
"West Midtown ","Caf/Coffee/Tea","GREGORY'S COFFEE",2
"West Midtown ","Bottled beverages including water sodas juices etc","MINUS5 ICE BAR",2
"West Midtown ","American","PORCHLIGHT",2
"West Midtown ","American","STARBUCKS",2
"West Midtown ","American","THE BRESLIN LOBBY BAR  ROOM SERVICE KITCHEN",2
