budget_fiscal_year,fund,sub_fund,appropriation,budget_amount
2014,0200,0123,11008001,66910000
2014,0200,0123,15991955,19090000
2014,0200,0123,15997156,14000000
2014,0200,061C,60010456,27400000
2014,0200,062C,60010420,56600000
2014,0200,063C,60010421,30000000
2014,0200,064C,60012040,43500000
2014,0200,064C,60012041,246500000
2014,0200,064C,60012042,425000000
2014,0200,064C,60012043,43750000
2014,0200,064C,60012044,21500000
2014,0200,064C,60012045,9500000
2014,0200,064C,60012046,25000000
2014,0200,064C,60012047,4000000
2014,0200,064C,60012048,7000000
2014,0200,064C,60012049,24000000
2014,0200,066C,03302223,220000000
2014,0200,067C,40007998,25000000
2014,0200,067C,40008201,25000000
2014,0200,067C,40008202,100000000
2014,0200,067C,70047018,50000000
2014,0200,073C,70040028,50000000
2014,0200,073C,70040029,40000000
2014,0200,073C,70040030,30000000
2014,0200,073C,70040031,220000000
2014,0200,073C,70040032,125000000
2014,0200,073C,70040036,75000000
2014,0200,073C,70040037,100000000
2014,0200,073C,70040038,30000000
2014,0200,074C,70040033,500000000
2014,0200,074C,70040034,50000000
2014,0200,074C,70040035,55000000
2014,0200,075C,11007500,20000000
2014,0200,075C,70079040,5000000
2014,0200,076C,30000400,45000000
2014,0200,076C,70040039,55000000
2014,0200,076C,70040040,47000000
2014,0200,076C,70040041,38000000
2014,0200,076C,70040042,305000000
2014,0200,076C,70040043,135000000
2014,0200,076C,70040044,500000000
2014,0200,076C,70040045,50000000
2014,0200,076C,70040046,80000000
2014,0200,076C,70040047,100000000
2014,0200,076C,70040048,45000000
2014,0200,555C,70668000,1189055630
2014,0200,555C,71001000,1001500000
2014,0200,563C,11007400,10000000
2014,0200,563C,11009200,250000000
2014,0200,563C,80000700,25000000
2014,0200,563C,80002020,15000000
2014,0200,563C,81002025,40000000
2014,0200,563C,81009000,25000000
2014,0200,564C,17903000,451800000
2014,0200,565C,06400301,50000000
2014,0200,565C,11008020,100000000
2014,0200,565C,11022008,460000000
2014,0200,565C,40002020,80000000
2014,0200,565C,70009090,100000000
2014,0200,565C,70076300,35000000
2014,0200,565C,80003500,44680000
2014,0200,565C,89007500,15000000
2014,0200,565L,11025600,658350000
2014,0200,565L,17902500,78000000
2014,0200,565L,80004900,10000000
2014,0200,565L,85001000,15000000
2014,0200,565T,11003001,285988000
2014,0200,566L,03309997,10000000
2014,0200,566L,89008500,550000000
2014,0200,567C,05262012,30000000
2014,0200,567C,06201000,50000000
2014,0200,567C,06202000,25000000
2014,0200,567C,11002500,110180000
2014,0200,567C,11002500,110180000
2014,0200,567C,11002500,110180000
2014,0200,567C,11025000,8000000
2014,0200,567C,11026000,30000000
2014,0200,567C,11027000,25000000
2014,0200,567C,20007013,36000000
2014,0200,567C,20007014,53150000
2014,0200,567C,20007015,25000000
2014,0200,567C,20007016,7000000
2014,0200,567C,20007018,24325000
2014,0200,567C,20007022,13000000
2014,0200,567C,20007023,2000000
2014,0200,567C,20007024,1500000
2014,0200,567C,20007025,24850000
2014,0200,567C,22007011,11350000
2014,0200,567C,22007012,4850000
2014,0200,567C,22007013,13000000
2014,0200,567C,22007014,20000000
2014,0200,567C,22007015,44000000
2014,0200,567C,22007017,21325000
2014,0200,567C,22007018,25000000
2014,0200,567C,23007010,73000000
2014,0200,567C,23007011,12950000
2014,0200,567C,23007013,9980000
2014,0200,567C,23007014,16500000
2014,0200,567C,23007015,10000000
2014,0200,567C,23007016,11500000
2014,0200,567C,23007017,10450000
2014,0200,567C,23007018,7475000
2014,0200,567C,25007012,67750000
2014,0200,567C,25007013,30000000
2014,0200,567C,25007014,3000000
2014,0200,567C,28007011,56875000
2014,0200,567C,28007012,30000000
2014,0200,567C,28007013,10000000
2014,0200,567C,28007015,12400000
2014,0200,567C,28007016,48566000
2014,0200,567C,28007017,4875000
2014,0200,567C,28007018,25000000
2014,0200,567C,28007019,5000000
2014,0200,567C,28007022,4000000
2014,0200,567C,28007097,22250000
2014,0200,567C,28007098,5000000
2014,0200,567C,28407014,205732000
2014,0200,567C,28407017,29820000
2014,0200,567C,93007010,2500000
2014,0200,567C,93007909,13250000
2014,0200,568C,28907010,74950000
2014,0200,568C,28907011,250000000
2014,0200,569C,70020015,500000000
2014,0200,570T,15997060,40000000
2014,0200,571C,61221223,200000000
2014,0200,577C,61221323,300000000
2014,0200,AHT2,70040021,100000000
2014,0200,AHT2,70040022,100000000
2014,0200,CEA7,06102366,3800000
2014,0200,CEA7,06108910,5900000
2014,0200,CEA7,11021994,125000000
2014,0200,CEA7,17902015,75000000
2014,0200,CEA7,17902016,15000000
2014,0200,CEA7,17902017,4900000
2014,0200,CEA7,20002028,1700000
2014,0200,CEA7,20002029,450000
2014,0200,CEA7,22002018,350000
2014,0200,CEA7,22002019,1500000
2014,0200,CEA7,55009405,250000000
2014,0200,CEA7,60010708,100000000
2014,0200,CEA7,80002013,4500000
2014,0200,CEA7,81000025,12000000
2014,0200,Q123,11008000,100000000
2014,0210,0269,61221190,200000000
2014,0210,517C,60330798,60000000
2014,0210,517C,60330798,60000000
2014,0210,517C,60330798,60000000
2014,0210,543C,60330417,582087574
2014,0210,543C,60330418,7000000
2014,0210,544C,60330428,3600000
2014,0210,544C,60330498,450000000
2014,0210,544C,60330499,25000000
2014,0210,545C,60330462,7500000
2014,0210,545C,60330464,3000000
2014,0210,546C,60010405,23500000
2014,0210,547C,60010445,8000000
2014,0210,550C,60330817,225000000
2014,0210,550C,60330837,1400000
2014,0210,551C,60330867,150000000
2014,0210,551C,60330887,5000000
2014,0210,552C,60010801,8000000
2014,0210,552C,60010802,3000000
2014,0210,552C,60010804,10000000
2014,0210,552C,60010805,5000000
2014,0210,553C,60010812,700000000
2014,0210,553C,60010813,8000000
2014,0210,554C,28900800,906000000
2014,0210,554C,60330800,2078000000
2014,0210,556C,60330827,7500000
2014,0210,556C,60350817,575000000
2014,0210,556C,60350837,2800000
2014,0210,557C,60350867,350000000
2014,0210,557C,60350877,50000000
2014,0210,557C,60350887,10000000
2014,0210,558C,60010803,20000000
2014,0210,558C,60010817,50000000
2014,0210,558C,60010818,45000000
2014,0210,558C,60010881,17000000
2014,0210,558C,60010882,7000000
2014,0210,558C,60010884,90000000
2014,0210,558C,60010885,10000000
2014,0210,558T,60010806,20000000
2014,0210,559C,60010807,16700000
2014,0210,559C,60010808,1000000
2014,0210,559C,60010809,1500000
2014,0210,559C,60010810,1220000
2014,0210,560C,60010815,5000000
2014,0210,560C,60010820,67000000
2014,0210,561C,60060801,40000000
2014,0210,562C,60000450,366500
2014,0210,562C,60000500,15000000
2014,0210,572C,60010816,50000000
2014,0210,574C,61211217,325000000
2014,0210,575C,66221205,11000000
2014,0210,576C,66221280,300000000
2014,0211,542C,60330411,93500000
2014,0211,573C,61211218,171750000
